Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2012-07-09,BOA,0.27,0.27,0.27,0.27,3000,0.27
2012-07-06,BOA,0.30,0.30,0.30,0.30,100,0.30
2012-07-05,BOA,0.30,0.30,0.30,0.30,100,0.30
2012-07-04,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-07-03,BOA,0.33,0.33,0.28,0.31,5800,0.31
2012-07-02,BOA,0.34,0.34,0.31,0.33,9600,0.33
2012-06-29,BOA,0.32,0.32,0.31,0.32,1200,0.32
2012-06-28,BOA,0.35,0.38,0.32,0.32,26100,0.32
2012-06-27,BOA,0.29,0.40,0.29,0.32,52100,0.32
2012-06-26,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-06-25,BOA,0.32,0.33,0.32,0.33,400,0.33
2012-06-22,BOA,0.29,0.31,0.29,0.30,9200,0.30
2012-06-21,BOA,0.33,0.33,0.29,0.31,15800,0.31
2012-06-20,BOA,0.33,0.33,0.30,0.30,8600,0.30
2012-06-19,BOA,0.31,0.31,0.31,0.31,200,0.31
2012-06-18,BOA,0.27,0.33,0.27,0.30,26500,0.30
2012-06-15,BOA,0.31,0.31,0.29,0.29,3000,0.29
2012-06-14,BOA,0.25,0.30,0.25,0.30,23700,0.30
2012-06-13,BOA,0.29,0.31,0.24,0.25,20700,0.25
2012-06-12,BOA,0.26,0.27,0.26,0.27,100,0.27
2012-06-11,BOA,0.29,0.29,0.26,0.26,9100,0.26
2012-06-08,BOA,0.29,0.33,0.25,0.26,16600,0.26
2012-06-07,BOA,0.29,0.29,0.29,0.29,000,0.29
